_id;CODICE;ISTITUTO;TIPO;COMUNE;ASL;INDIRIZZO;LATITUDINE;LONGITUDINE;DATA;STATO_IN_PS;ROSSI_ATT;GIALLI_ATT;VERDI_ATT;BIANCHI_ATT;NONESEG_ATT;TOT_ATT;STATO_IN_PS1;ROSSI_TRATT;GIALLI_TRATT;VERDI_TRATT;BIANCHI_TRATT;NONESEG_TRATT;TOT_TRATT;STATO_IN_PS2;ROSSI_OB;GIALLI_OB;VERDI_OB;BIANCHI_OB;TOT_OB;TOT_RT;TUTTI
1;92000;Pol. Univ. Tor Vergata;DEA I;Roma;RM2;Viale Oxford 81, 00133 Roma;41.85966;12.63226;2021-07-15T16:58:00;ATTESA;0;2;22;0;1;25;TRATTAMENTO;2;15;31;0;0;48;OSSERVAZIONE_BREVE;3;5;2;0;10;32;115
2;91900;Sant'Andrea;DEA I;Roma;RM1;Via di Grottarossa 1035, 00189 Roma;41.97022;12.48421;2021-07-15T16:58:00;ATTESA;1;1;3;0;0;5;TRATTAMENTO;3;17;13;0;0;33;OSSERVAZIONE_BREVE;0;0;2;0;2;33;73
3;91500;Campus Biomedico;DEA I;Roma;RM2;Via Alvaro del Portillo 200, 00128 Roma;41.77774;12.47192;2021-07-15T16:58:00;ATTESA;0;0;2;0;0;2;TRATTAMENTO;0;0;13;0;0;13;OSSERVAZIONE_BREVE;0;1;1;0;2;4;21
4;90600;Pol. Univ. Umberto I;DEA II;Roma;RM1;Viale del Policlinico 155, 00161 Roma;41.90642;12.51134;2021-07-15T16:58:00;ATTESA;0;1;17;4;0;22;TRATTAMENTO;7;11;17;1;0;36;OSSERVAZIONE_BREVE;0;0;0;0;0;55;113
5;90501;Pol. Univ. A. Gemelli;DEA II;Roma;RM1;Largo Agostino Gemelli 8, 00168 Roma;41.93081;12.42831;2021-07-15T16:58:00;ATTESA;0;0;11;0;0;11;TRATTAMENTO;3;11;39;0;0;53;OSSERVAZIONE_BREVE;0;5;11;0;16;61;141
6;90402;Bambino Gesu' Palidoro;PS;Palidoro;RM3;Via della Torre di Palidoro, 00050 Fiumicino (Palidoro);41.92873;12.18182;2021-07-15T16:58:00;ATTESA;0;0;1;1;0;2;TRATTAMENTO;0;0;1;0;0;1;OSSERVAZIONE_BREVE;0;0;0;0;0;0;3
7;90401;Bambino Gesu';DEA II;Roma;RM1;Piazza Sant'Onofrio 4, 00165 Roma;41.89885;12.46194;2021-07-15T16:58:00;ATTESA;0;0;0;1;0;1;TRATTAMENTO;0;0;10;0;0;10;OSSERVAZIONE_BREVE;0;0;0;0;0;3;14
8;90200;San Giovanni Addolorata;DEA II;Roma;RM1;Via dell'Amba Aradam 9, 00184 Roma;41.88602;12.50341;2021-07-15T16:58:00;ATTESA;0;1;10;1;0;12;TRATTAMENTO;3;6;6;3;0;18;OSSERVAZIONE_BREVE;0;3;0;0;3;18;51
9;90100;San Camillo-Forlanini;DEA II;Roma;RM3;Circonvallazione Gianicolense 87, 00152 Roma;41.87114;12.45783;2021-07-15T16:58:00;ATTESA;1;0;9;0;0;10;TRATTAMENTO;1;6;23;0;0;30;OSSERVAZIONE_BREVE;1;3;3;0;7;54;101
10;29400;Policlinico Casilino;DEA I;Roma;RM2;Via Casilina 1049, 00169 Roma;41.87182;12.58551;2021-07-15T16:58:00;ATTESA;0;0;29;0;3;32;TRATTAMENTO;0;13;22;0;0;35;OSSERVAZIONE_BREVE;0;0;0;0;0;28;95
11;28501;San Filippo Neri;DEA I;Roma;RM1;Via Giovanni Martinotti 20, 00135 Roma;41.94824;12.41723;2021-07-15T16:58:00;ATTESA;0;0;1;0;0;1;TRATTAMENTO;2;7;14;0;0;23;OSSERVAZIONE_BREVE;0;2;0;0;2;9;35
12;27100;Belcolle;DEA I;Viterbo;VT;Strada Sammartinese, 01100 Viterbo;42.39512;12.11584;2021-07-15T16:58:00;ATTESA;0;1;2;0;1;4;TRATTAMENTO;3;9;6;0;0;18;OSSERVAZIONE_BREVE;1;5;1;0;7;16;45
13;26700;Sandro Pertini;DEA I;Roma;RM2;Via dei Monti Tiburtini 385, 00157 Roma;41.91613;12.54582;2021-07-15T16:58:00;ATTESA;0;2;7;0;0;9;TRATTAMENTO;3;6;15;0;0;24;OSSERVAZIONE_BREVE;1;0;1;0;2;50;85
14;22800;Santa Scolastica;DEA I;Cassino;FR;Via San Pasquale, 03043 Cassino (FR);41.48831;13.84072;2021-07-15T16:58:00;ATTESA;0;0;2;0;0;2;TRATTAMENTO;0;2;15;0;0;17;OSSERVAZIONE_BREVE;0;0;1;0;1;1;21
15;22600;Santissima Trinita';PS;Sora;FR;Via San Marciano, 03039 Sora (FR);41.72462;13.60621;2021-07-15T16:58:00;ATTESA;0;0;0;0;0;0;TRATTAMENTO;0;1;3;0;0;4;OSSERVAZIONE_BREVE;0;0;3;0;3;5;12
16;21602;San Benedetto;PS;Alatri;FR;Viale San Benedetto, 03011 Alatri (FR);41.72651;13.34213;2021-07-15T16:58:00;ATTESA;0;2;2;0;0;4;TRATTAMENTO;0;1;14;0;0;15;OSSERVAZIONE_BREVE;0;2;0;0;2;2;23
17;21601;F. Spaziani;DEA I;Frosinone;FR;Via Armando Fabi, 03100 Frosinone (FR);41.63752;13.31974;2021-07-15T16:58:00;ATTESA;0;4;9;0;0;13;TRATTAMENTO;6;11;9;0;0;26;OSSERVAZIONE_BREVE;0;2;1;0;3;11;53
18;21500;Citta' di Aprilia;PS;Aprilia;LT;Via delle Palme 25, 04011 Aprilia (LT);41.59041;12.65173;2021-07-15T16:58:00;ATTESA;0;0;0;0;0;0;TRATTAMENTO;1;1;3;0;0;5;OSSERVAZIONE_BREVE;0;0;0;0;0;1;6
19;20600;Dono Svizzero;DEA I;Formia;LT;Via Emanuele Filiberto, 04023 Formia (LT);41.25832;13.61331;2021-07-15T16:58:00;ATTESA;0;0;4;0;0;4;TRATTAMENTO;0;4;18;0;0;22;OSSERVAZIONE_BREVE;0;0;0;0;0;4;30
20;20402;San Giovanni di Dio;PS;Fondi;LT;Via San Magno, 04022 Fondi (LT);41.35471;13.43542;2021-07-15T16:58:00;ATTESA;0;0;0;0;0;0;TRATTAMENTO;0;3;2;0;0;5;OSSERVAZIONE_BREVE;0;0;0;0;0;2;7
21;20401;A. Fiorini;PS;Terracina;LT;Via Firenze, 04019 Terracina (LT);41.29423;13.23841;2021-07-15T16:58:00;ATTESA;0;0;2;1;0;3;TRATTAMENTO;0;3;10;0;0;13;OSSERVAZIONE_BREVE;0;0;0;0;0;3;19
22;20000;Santa Maria Goretti;DEA I;Latina;LT;Via Canova, 04100 Latina (LT);41.46461;12.90952;2021-07-15T16:58:00;ATTESA;0;0;20;0;0;20;TRATTAMENTO;0;2;30;0;0;32;OSSERVAZIONE_BREVE;5;1;9;0;15;36;103
23;18000;Aurelia Hospital;DEA I;Roma;RM1;Via Aurelia 860, 00165 Roma;41.89062;12.40421;2021-07-15T16:58:00;ATTESA;0;0;5;0;0;5;TRATTAMENTO;0;5;12;0;0;17;OSSERVAZIONE_BREVE;0;0;0;0;0;2;24
24;7600;Madre G. Vannini;DEA I;Roma;RM2;Via di Acqua Bullicante 4, 00177 Roma;41.88724;12.54342;2021-07-15T16:58:00;ATTESA;0;0;6;0;1;7;TRATTAMENTO;1;2;6;0;0;9;OSSERVAZIONE_BREVE;0;0;6;0;6;0;22
