_id,CODICE,ISTITUTO,TIPO,COMUNE,ASL,DATA,STATO_IN_PS,ROSSI_ATT,GIALLI_ATT,VERDI_ATT,BIANCHI_ATT,NONESEG_ATT,TOT_ATT,STATO_IN_PS1,ROSSI_TRATT,GIALLI_TRATT,VERDI_TRATT,BIANCHI_TRATT,NONESEG_TRATT,TOT_TRATT,STATO_IN_PS2,ROSSI_OB,GIALLI_OB,VERDI_OB,BIANCHI_OB,TOT_OB,TOT_RT,TUTTI,Latitudine,Longitudine
1,92000,Pol. Univ. Tor Vergata,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,2,22,0,1,25,TRATTAMENTO,2,15,31,0,0,48,OSSERVAZIONE_BREVE,3,5,2,0,10,32,115,184.37.00,117.22.00
2,91900,Sant'Andrea,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,1,1,3,0,0,5,TRATTAMENTO,3,17,13,0,0,33,OSSERVAZIONE_BREVE,0,0,2,0,2,33,73,202.48.00,86.57.00
3,91500,Campus Biomedico,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,2,0,0,2,TRATTAMENTO,0,0,13,0,0,13,OSSERVAZIONE_BREVE,0,1,1,0,2,4,21,169.06.00,89.13.00
4,90600,Pol. Univ. Umberto I,DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,1,17,4,0,22,TRATTAMENTO,7,11,17,1,0,36,OSSERVAZIONE_BREVE,0,0,0,0,0,55,113,192.04.00,97.17.00
5,90501,Pol. Univ. A. Gemelli,DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,11,0,0,11,TRATTAMENTO,3,11,39,0,0,53,OSSERVAZIONE_BREVE,0,5,11,0,16,61,141,196.03.00,83.34.00
6,90302,Bambino Gesu' Palidoro,DEA I,Palidoro,RM3,2021-07-15T16:58:00,ATTESA,0,1,5,0,0,6,TRATTAMENTO,0,3,9,0,0,12,OSSERVAZIONE_BREVE,0,2,1,0,3,0,21,193.41.00,43.09.00
7,90301,Bambino Gesu',DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,1,7,0,1,9,TRATTAMENTO,1,13,11,0,0,25,OSSERVAZIONE_BREVE,0,1,2,0,3,5,42,190.38.00,88.48.00
8,90103,San Giovanni Addolorata,DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,5,1,1,7,TRATTAMENTO,1,18,36,0,0,55,OSSERVAZIONE_BREVE,3,7,3,0,13,31,106,188.44.00,96.10.00
9,90102,San Camillo-Forlanini,DEA II,Roma,RM3,2021-07-15T16:58:00,ATTESA,0,3,10,1,0,14,TRATTAMENTO,4,22,33,0,1,60,OSSERVAZIONE_BREVE,5,4,2,0,11,62,147,186.22.00,88.01.00
10,90101,Policlinico Casilino,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,12,0,1,13,TRATTAMENTO,1,13,44,0,0,58,OSSERVAZIONE_BREVE,0,6,3,0,9,33,113,186.06.00,108.07.00
